0|addr0|12|1000|12077450000|10/12/2017|0.1|0.01
1|addr1|45|1001|12077450001|9/12/2018|1.1|1.01
2|addr2|34|1002|12077450002|9/12/2018|2.1|2.01
3|addr3|56|1003|12077450003|10/10/2018|3.1|3.01
4|addr4|22|1004|12077450004|12/12/2018|4.1|4.01
5|addr5|10|1005|12077450005|12/12/2018|5.1|5.01
6|addr6|11|1006|12077450006|12/12/2018|6.1|6.01
7|addr7|31|1007|12077450007|12/12/2018|7.1|7.01
8|addr8|66|1008|12077450008|12/12/2018|8.1|8.01
9|addr9|55|1009|12077450009|12/10/2018|9.1|9.01
10|addr10|77|1010|12077450010|12/12/2018|10.1|10.01
11|addr11|59|1011|12077450011|12/12/2018|11.1|11.01
12|addr12|58|1012|12077450012|12/2/2018|12.1|12.01
13|addr12|57|1012|12077450012|12/2/2018|12.1|12.01
